mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_criterion	param_max_depth	param_min_samples_leaf	param_min_samples_split	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
16.499299621582033	0.7505545325030143	0.12313981056213379	0.029166758486387407	gini		1	2	{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2}	0.7636869256811221	0.764662260196679	0.7648234725133	0.764162502015154	0.7625968289281713	0.7639863978668853	0.0008011344392830162	685
16.342855978012086	0.6864785231465175	0.14397931098937988	0.03419897188339957	gini		1	5	{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5}	0.7636224407544736	0.7650894728357247	0.7655972916330808	0.7636385619861358	0.7618874890173224	0.7639670512453474	0.0013014418613528733	686
16.58278179168701	0.39831347467144607	0.14614467620849608	0.006891835825247487	gini		1	10	{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10}	0.7678703852974367	0.7679187489924231	0.7674512332742222	0.767096566177656	0.7644991495981751	0.7669672166679826	0.0012699201368213337	635
15.51430058479309	0.4162559635168727	0.10592918395996094	0.021137765017751324	gini		1	20	{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 20}	0.775415121715299	0.7778091246171207	0.7771803965822989	0.7743672416572626	0.774808760347899	0.775916128983976	0.0013459666086171411	579
15.20926012992859	0.043509109374714916	0.11529860496520997	0.02504640345510583	gini		1	30	{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 30}	0.7811300983395132	0.7826132516524262	0.7833467676930518	0.7807593100112848	0.7820633730724897	0.7819825601537531	0.0009474594197535287	475
15.021014070510864	0.07563455741474542	0.15012073516845703	0.021157213488910774	gini		1	50	{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 50}	0.7889730775431243	0.7909237465742383	0.7898275028212155	0.7890375624697726	0.7905754520026761	0.7898674682822053	0.000788319791506878	422
14.622284984588623	0.16920269391624498	0.08068747520446777	0.022675739557766448	gini		1	100	{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 100}	0.7977752700306303	0.7988231500886668	0.7978639368047719	0.7972593906174432	0.7976446690687495	0.7978732833220523	0.0005178937278215909	327
14.846367454528808	0.16755709062940957	0.10242271423339844	0.01628211214467886	gini		5	2	{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 5, 'min_samples_split': 2}	0.7767773657907464	0.7779219732387554	0.7778736095437692	0.7762050620667419	0.7744299083500592	0.7766415837980144	0.0012851288508686585	578
14.87659502029419	0.10867770738661607	0.12874302864074708	0.010614102140402955	gini		5	5	{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 5, 'min_samples_split': 5}	0.7767128808640981	0.7779058520070934	0.778026761244559	0.7764630017733355	0.7750747628144673	0.7768366517407106	0.0010787711487817108	576
14.871267318725586	0.15236767418063624	0.11836094856262207	0.02835015948642181	gini		5	10	{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 5, 'min_samples_split': 10}	0.7764065774625182	0.7783814283411252	0.7775673061421893	0.7764307593100113	0.7745266365197204	0.7766625415551128	0.0013003462375238675	577
