mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_metric	param_n_neighbors	param_weights	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
6.428744077682495	0.15223624508274597	35.814121627807616	0.5966445926810678	euclidean	1	uniform	{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}	0.7724488150894728	0.7739158471707238	0.7716185716588747	0.7725536030952764	0.7701496868425507	0.7721373047713798	0.0012371956281877208	43
6.3005509853363035	0.12062240946535903	32.34427843093872	0.45440471487275	euclidean	1	distance	{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'distance'}	0.7724488150894728	0.7739158471707238	0.7716185716588747	0.7725536030952764	0.7701496868425507	0.7721373047713798	0.0012371956281877208	43
6.479147720336914	0.24315836196565233	54.91411385536194	1.2547527642181946	euclidean	3	uniform	{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}	0.7977913912622925	0.7981057552797034	0.7968160567467355	0.7960583588586168	0.7961131397157803	0.7969769403726257	0.0008430160686303495	39
6.122119331359864	0.2746551949874653	51.44685101509094	1.3391217974314222	euclidean	3	distance	{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}	0.7971949056907948	0.7980654522005481	0.7967676930517491	0.7958729646945026	0.7958229552067968	0.7967447941688783	0.0008434614492689499	40
6.0076234340667725	0.12212584109590724	67.42072625160218	1.9881726982250227	euclidean	5	uniform	{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}	0.8052394002901822	0.8057794615508624	0.8060777043366113	0.8053200064484927	0.8063421436574533	0.8057517432567203	0.00042531953859638435	36
5.907166624069214	0.17695589564041822	63.404081964492796	2.2232170041332973	euclidean	5	distance	{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}	0.8056585523133968	0.806190552958246	0.8063195228115428	0.8051507335160406	0.8062051120837666	0.8059048947365985	0.00044115558519184077	35
5.83040714263916	0.2025456718107971	75.2190583705902	1.2815190154293532	euclidean	7	uniform	{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}	0.8094873448331452	0.8109463162985652	0.8096969208447525	0.8099226180880219	0.8096712048299599	0.809944880978889	0.0005194401838672835	34
5.9163953304290775	0.12130470656344848	73.251837682724	1.8877830703795455	euclidean	7	distance	{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'distance'}	0.8102450427212639	0.8113815895534419	0.8104707399645333	0.8102772851845881	0.8100016927429691	0.8104752700333593	0.00047705631943351556	33
5.79982099533081	0.08272308212283982	93.51257562637329	2.0083579460334096	euclidean	11	uniform	{'metric': 'euclidean', 'n_neighbors': 11, 'weights': 'uniform'}	0.8119941963566016	0.8130743188779622	0.812703530549734	0.8129372884088344	0.8126455960470421	0.8126709860480348	0.0003723821698836152	29
5.926151704788208	0.21201041497637618	89.64858331680298	2.442588918710248	euclidean	11	distance	{'metric': 'euclidean', 'n_neighbors': 11, 'weights': 'distance'}	0.8132194099629212	0.8144688054167338	0.8137111075286152	0.8140012896985329	0.8136289991052644	0.8138059223424137	0.0004151796782392194	23
