mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_max_depth	param_min_samples_leaf	param_min_samples_split	param_n_estimators	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
235.24734773635865	6.710787563549062	5.970898580551148	0.35051503775034665		1	2	51	{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 51}	0.8347090117684991	0.8365548927938095	0.836643559567951	0.8345881025310333	0.8358119926809018	0.8356615118684388	0.0008768871857733188	14
339.003532743454	5.467878800205218	8.079416465759277	0.34591640867060636		1	2	75	{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 75}	0.8365629534096405	0.8374979848460422	0.8376027728518459	0.8369982266645172	0.8373838254378965	0.8372091526419885	0.00038234401085839633	6
446.085276556015	5.26072342529708	13.214779233932495	0.7579241334040215		1	2	101	{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 101}	0.837143317749476	0.8386828953732065	0.8383524101241335	0.8373528937610834	0.8381012260295505	0.8379265486074899	0.000587615711651174	4
534.6860466003418	11.3603354235403	16.053978204727173	2.319281797602761		1	2	125	{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 125}	0.8376914396259875	0.838755440915686	0.8386667741415444	0.8375221666935354	0.8386171096010769	0.838250586195566	0.0005302207009920426	2
219.49545578956605	6.71129972512916	5.250703811645508	0.16413026069779876		1	5	51	{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 51}	0.8354505884249557	0.8364501047880059	0.83648234725133	0.8352651942608416	0.8355943542991641	0.8358485178048595	0.000515142679561281	11
319.5334136962891	12.612729993772623	7.479869079589844	0.36551916720269245		1	5	75	{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 75}	0.8367402869579236	0.838263743349992	0.8373931968402386	0.8368692568112204	0.8376901313084903	0.8373913230535731	0.0005562028797353802	5
418.7850826740265	13.768664457500401	9.714545822143554	0.21272890485560841		1	5	101	{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 101}	0.8375544091568596	0.8389811381589554	0.8392310172497178	0.8374173786877317	0.8389959615989167	0.8384359809704363	0.0007819944785821639	1
507.47017612457273	10.656507458957979	11.700214195251466	0.5260668383281688		1	5	125	{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 125}	0.837127196517814	0.8386425922940512	0.8389488956956311	0.8374012574560696	0.8381898935184066	0.8380619670963945	0.0007000666244215023	3
196.72854108810424	1.1032900175425016	4.193712615966797	0.3011361396959317		5	2	51	{'max_depth': None, 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 51}	0.8343785265194261	0.8353861034983072	0.8355231339674352	0.8346042237626955	0.8352719270669601	0.8350327829629649	0.0004547931162194064	16
287.16684398651125	3.201403556024767	5.755679702758789	0.06971502672290934		5	2	75	{'max_depth': None, 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 75}	0.8339190714170562	0.836974044817024	0.8362566500080606	0.8351281637917137	0.8362714514867926	0.8357098763041295	0.0010731096671593285	13
380.9384386062622	3.3900643105002755	7.587316417694092	0.2794720846489936		5	2	101	{'max_depth': None, 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 101}	0.8353458004191521	0.8370224085120103	0.8371030146703208	0.8352732548766726	0.83686794186637	0.8363224840689052	0.0008308356400811741	9
